Region,Pais,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,PAB,Neumonía,Diarrea,Malaria Care,Malaria Sleeping,Malaria Households,mortality
,Afghanistan,87,78,70,75,66,43,70,70,62,68,63,68,40,62,5,26,60
,Albania,,,,,,,,,,,96,82,35,60,,,10
,Algeria,,,,,,,,,,,98,47,27,,,,23
,Andorra,,99,99,99,98,93,98,98,,96,,,,,,,3
,Angola,58,61,51,51,44,41,47,47,39,47,70,49,43,51,22,31,75
,Anguilla,,,,,,,,,,,,,,,,,
Caribe,Antigua and Barbuda,,98,96,95,89,78,95,99,,,,,,,,,7
América del Sur,Argentina,75,79,74,74,77,71,74,74,72,75,,94,18,,,,9
,Armenia,,,,,,,,,,,,92,37,71,,,12
,Australia,,98,95,95,95,94,95,95,87,97,,,,,,,4
,Austria,,90,85,85,94,84,85,85,61,,,,,,,,3
,Azerbaijan,94,85,79,85,82,79,79,79,,79,,33,8,,1,,20
Caribe,Bahamas,,,,,,,,,,,100,,,,,,13
,Bahrain,,99,98,98,99,99,98,98,98,99,99,,,,,,
,Bangladesh,99,99,98,98,97,93,98,98,,99,98,46,72,56,,,31
Caribe,Barbados,,86,85,85,89,78,85,85,,86,,,,,,,13
,Belarus,97,97,97,97,97,98,97,97,,,,93,45,,,,3
,Belgium,,,,,,,,,,,,,,,,,3
América Central,Belize,76,79,79,79,82,87,79,79,,,95,67,55,71,,,12
,Benin,88,83,72,73,65,,72,72,62,68,81,29,22,53,70,85,90
,Bhutan,98,96,95,96,93,92,96,96,,90,90,74,61,,,,28
América del Sur,Bolivia (Plurinational State of),82,79,68,68,74,46,68,68,74,68,89,62,22,,,,26
,Bosnia and Herzegovina,,,,,,,,,,,,87,36,,,,6
,Botswana,98,98,95,96,87,66,95,95,85,90,91,14,43,75,31,53,42
América del Sur,Brazil,67,88,77,74,79,44,77,77,76,79,96,50,,,,,14
,British Virgin Islands,,,,,,,,,,,,,,,,,
,Brunei Darussalam,99,99,99,99,99,97,99,99,,,97,,,,,,11
,Bulgaria,97,94,91,91,88,84,91,91,45,85,,,,,,,7
,Burkina Faso,98,95,91,91,88,71,91,91,91,91,95,56,40,74,54,75,88
,Burundi,83,98,93,93,90,83,93,93,96,93,90,59,36,70,40,46,56
,Cabo Verde,98,93,93,94,95,86,94,94,,,95,,,,,,15
,Cambodia,98,94,92,94,84,80,92,92,,90,95,69,35,61,4,5,27
,Cameroon,80,77,69,70,62,28,69,69,67,69,83,30,18,61,60,73,75
América del Norte,Canada,,94,91,92,90,83,84,92,84,84,,,,,,,5
,Central African Republic,61,54,42,46,41,,42,42,,40,63,35,23,32,51,61,110
,Chad,60,69,52,52,47,,52,52,,,78,26,20,23,36,77,114
América del Sur,Chile,98,98,93,93,91,83,93,93,,89,,,,,,,7
,China,99,99,99,99,99,99,99,,,,,,,,,,8
