especie_id,nom_ctf,nom_cat,nom_cas,nom_eng,desc_cat,desc_cas,desc_eng,icona,img1,img2,img3,img4,img5
5095,Archontophoenix alexandrae,Palma d'Alexandria,"Palma de Alejandría,  Palma real de Australia",Alexandra palm,"Es tracta d'una palmera originària d'Austràlia. Té un tronc alt, esvelt i de color gris marró. Les fulles són pinnades i de color verd. Floreix durant tot l'any, amb flors blanques. Produeix baies vermelles i ovoides. Sovint s'utilitza com a planta ornamental.","Es una palmera originaria de Australia. Tiene un tronco alto, delgado, de color marrón grisáceo. Las hojas son pinnadas y de color verde. Florece durante todo el año, con flores blancas. Produce bayas rojas, ovoides. A menudo se usa como planta ornamental.","This is a palm tree native to Australia. It has a tall, slender, grey-brown trunk. The leaves are pinnate and green coloured. It blossoms throughout the year, with white flowers. It produces red, ovoid berries. It is often used as an ornamental plant.",palmera.svg,roy_archontophoenix_alexandrae_ge.jpg,roy_archontophoenix_alexandrae_fu.jpg,roy_archontophoenix_alexandrae_fl.jpg,,roy_archontophoenix_alexandrae_es.jpg
5287052,Cassia surattensis,,Árbol del sol,,,,,arbre.svg,,,,,
1289,Cydonia oblonga,Codonyer,"Membrillero,  membrillo",Quince tree,"Arbret caducifoli, de capçada el·líptica, originari d'Àsia. Floreix entre l'abril i el maig, amb flors petites, aromàtiques i de color rosa clar. Els fruits són drupes grans, grogues i perfumades 'els codonys' que apareixen al principi de la tardor.","Arbolillo caducifolio, de copa elíptica, originario de Asia. Florece entre abril y mayo, con flores pequeñas, aromáticas y de color rosa claro. Los frutos son drupas grandes, amarillas y perfumadas 'los membrillos' que aparecen a principios de otoño.","This is a deciduous tree with an elliptical crown, native to Asia. It blossoms between April and May, with small, aromatic pale-pink flowers. It produces large, aromatic yellow drupes, quinces, which appear at the beginning of autumn.",arbre.svg,roy_cydonia_oblonga_ge.jpg,roy_cydonia_oblonga_fu.jpg,roy_cydonia_oblonga_fl.jpg,roy_cydonia_oblonga_fr.jpg,roy_cydonia_oblonga_es.jpg
1425,Ficus elastica,"Arbre del cautxú,  ficus de cautxú","Arbol del Caucho,  árbol del caucho",Evergreen fig,"Arbre perennifoli, de capçada arrodonida, originari del sud i sud-est d'Àsia. Fa flors petites, sense interès, de color blanquinós. Els fruits són figues de color verd groguenc que maduren a l'estiu en zones tropicals. És molt emprat com a planta d'interior. A Barcelona el trobem en places i parcs i jardins.","Árbol perennifolio, de copa redondeada, originario del sur y sureste de Asia. Sus flores son pequeñas, sin interés, de color blanquecino. Los frutos son higos de color verde amarillento que maduran en verano en zonas tropicales. Es muy utilizado como planta de interior. En Barcelona lo encontramos en plazas y parques y jardines.","This is an evergreen tree with a round crown, native to South and South Eastern Asia. It has unremarkable whitish flowers. It produces yellowish-green figs that ripen in the summer in tropical areas. It is widely used as an interior plant. In Barcelona, it is found in squares, parks and gardens.",arbre.svg,roy_ficus_elastica_ge.jpg,roy_ficus_elastica_fu.jpg,,roy_ficus_elastica_fr.jpg,roy_ficus_elastica_es.jpg
1447,Fraxinus americana,Freixe blanc americà,Fresno blanco americano,White ash,"Arbre caducifoli, de capçada ovoidal, originari del centre i l'est dels Estats Units i l'est del Canadà. Les fulles es tornen de color groc o porpra a la tardor. La floració es produeix a la primavera, amb flors diminutes, de color verd groguenc o porpra, sense gaire interès ornamental. Els fruits són sàmares de color verd marronós que maduren al final de l'estiu.","Árbol caducifolio, de copa ovoidal, originario del centro y el este de los Estados Unidos y el este de Canadá. Las hojas se tornan de color amarillo o púrpura en otoño. La floración se produce en primavera, con flores diminutas, de color verde amarillento o púrpura, sin mucho interés ornamental. Los frutos son sámaras de color verde amarronado que maduran al final del verano.","A deciduous tree with an ovoid crown, native to Central and Eastern United States and Eastern Canada. Its leaves turn yellow or purple in the autumn. It blossoms in the spring, with tiny yellowish-green or purple flowers, without much interest for ornamental purposes. It bears brownish-green samaras that ripen at the end of the summer.",arbre.svg,,,,,
5287201,Ginkgo biloba 'Tremonia',,,,,,,arbre.svg,,,,,
4943816,Juniperus phoenicea,Savina,Sabina,Phoenicean juniper,"Arbust perennifoli de capçada arrodonida, originari de la regió mediterrània i la Macaronèsia. El fullatge és escamuós i dens, amb branques vermelloses. Els fruits són globosos, al principi d'un to verdós que avança cap a un vermell intens. Aquests fruits serveixen d'aliment per alguns ocells.","Arbusto perennifolio, de copa redondeada, originario de la región mediterránea y la Macaronesia. El follaje es escamoso y denso, con ramas rojizas. Los frutos son globosos, al principio de un tono verdoso que avanza hacia un rojo intenso. Estos frutos sirven de alimento para algunos pájaros.","An evergreen tree with a rounded crown, native to the Mediterranean region and Macaronesia. It has dense, scale-like foliage with reddish branches. It bears globular fruit that are initially green and turn deep red as they ripen. This fruit is a food source for some birds.",arbust.svg,roy_juniperus_phoenicea_ge.jpg,roy_juniperus_phoenicea_fu.jpg,roy_juniperus_phoenicea_fl.jpg,roy_juniperus_phoenicea_fr.jpg,roy_juniperus_phoenicea_es.jpg
5287202,Liriodendron tulipifera 'Fastigiata',,,,,,,arbre.svg,,,,,
5074,Manilkara zapota,"Sapotilla, acres","Zapote, chicozapote, árbol del chicle, zapotilla",Sapodilla ,"Arbre perennifoli, originari de Mèxic, Amèrica central i Amèrica de Sud. Les fulles són de color verd, aglomerades a les puntes de les branques. Presenta flors blanques. Els fruits són baies comestibles.","Árbol perennifolio, originario de México, América central y América del Sur. Las hojas son de color verde, aglomeradas en las puntas de las ramas. Presenta flores blancas. Los frutos son bayas comestibles.","Evergreen tree, native to Mexico, Central America and South America. The leaves are green, agglomerated at the tips of the branches. It has white flowers. The fruits are edible berries.",arbust.svg,,,,,
5286993,Metrosideros excelsa,Pohutukawa,Arbol rata,,,,,arbre.svg,,,,,
5287053,Moringa oleifera,Arbre de l'oli de ben,Árbol de la vida,,,,,arbre.svg,,,,,
2555,Pennisetum setaceum,Penniset de setes,Peniseto setáceo,Tender fountain grass,"Planta herbàcia i perenne, originària d'Àfrica, el sud-oest d'Àsia i Arabia. Les fulles són llargues i primes. FLoreix de març a juliol, amb una espiga terminal i llarga, erecta, de flors vermelloses o porpres i plomoses S'utilitza com a planta ornamental en parcs i jardins, en zones assolellades, en forma de coixinets","Planta herbácea y perenne, originaria de África, el suroeste de Asia y Arabia. Las hojas son largas y delgadas. Florece de marzo a julio, con una espiga terminal y larga, erecta, de flores rojizas o púrpuras y plumosas. Se utiliza como planta ornamental en parques y jardines, en zonas soleadas, en forma de almohadillas.","A herbaceous perennial plant, native to Africa, South-west Asia and Arabia. It has long, thin leaves. It blossoms from March to July, with long, erect terminal spikes of reddish or purple feathery flowers. It is used as an ornamental plant in parks and gardens, growing in clumps in sunny areas.",graminia.svg,,,,,
57,Photinia glabra,"Fotinia japonesa,  fotínia del Japó","Fotinia japonesa,  fotinia del Japón",Japanese Photinia,"Arbust perenne, de forma ovoïdal i originari de Japó, Xina i Formosa. Les fulles joves són de color vermell fosc, porpra i verd, depenent de l'estació. Si es troba molt exposat al sol, els colors vermells de les fulles són més intensos i brillants. Floreix a la primavera i a l'estiu, amb flors petites i blanquinoses, agrupades. Els fruits són carnosos i de color vermell, i quan maduren es tenyeixen de negre.","Arbusto perenne, de forma ovoide y originario de Japón, China y Formosa. Las hojas jóvenes son de color rojo oscuro, púrpura y verde, dependiendo de la estación. Si se encuentra muy expuesto al sol, los colores rojos de las hojas son más intensos y brillantes. Florece en primavera y en verano, con flores pequeñas y blanquecinas, agrupadas. Los frutos son carnosos y de color rojo, y cuando maduran se tiñen de negro.","An evergreen ovoid shrub, native to Japan, Korea and Taiwan. Its young leaves are dark red, purple or red, depending on the season. If it is exposed to a lot of sunlight, its leaves turn a deeper, brighter red. It blossoms in spring and in summer, with clusters of small white flowers. Its fleshy red fruit turn black as they ripen.",arbust.svg,,,,,
